iter	Passed	Remaining
0	136	136635
1	139	69724
2	142	47221
3	143	35846
4	146	29064
5	149	24702
6	151	21521
7	154	19107
8	156	17189
9	158	15716
10	161	14531
11	163	13493
12	166	12608
13	168	11844
14	170	11186
15	172	10601
16	174	10072
17	176	9606
18	177	9188
19	179	8811
20	181	8451
21	182	8121
22	184	7832
23	185	7557
24	187	7306
25	189	7084
26	190	6868
27	191	6660
28	193	6469
29	194	6287
30	195	6119
31	197	5963
32	198	5807
33	199	5660
34	200	5522
35	201	5393
36	202	5270
37	203	5159
38	204	5048
39	206	4948
40	207	4849
41	208	4757
42	209	4668
43	210	4579
44	211	4497
45	212	4415
46	213	4336
47	215	4269
48	216	4197
49	217	4133
50	218	4072
51	220	4013
52	221	3953
53	222	3897
54	223	3843
55	225	3793
56	226	3742
57	227	3691
58	228	3645
59	229	3601
60	231	3557
61	232	3513
62	233	3479
63	235	3437
64	236	3396
65	237	3357
66	238	3320
67	239	3277
68	240	3243
69	241	3209
70	242	3176
71	243	3143
72	245	3111
73	246	3079
74	247	3050
75	248	3022
76	249	2992
77	250	2963
78	251	2935
79	252	2908
80	253	2880
81	254	2854
82	256	2829
83	257	2803
84	257	2774
85	258	2749
86	259	2722
87	260	2699
88	261	2678
89	262	2655
90	263	2634
91	264	2613
92	265	2592
93	266	2571
94	267	2552
95	269	2536
96	270	2516
97	271	2497
98	272	2479
99	273	2465
100	275	2450
101	275	2429
102	276	2412
103	278	2395
104	279	2379
105	280	2363
106	281	2346
107	282	2332
108	283	2317
109	284	2302
110	285	2286
111	286	2270
112	287	2257
113	288	2242
114	289	2228
115	290	2213
116	291	2200
117	292	2189
118	293	2174
119	294	2161
120	295	2149
121	296	2136
122	297	2121
123	298	2108
124	299	2096
125	300	2085
126	301	2074
127	302	2060
128	303	2049
129	304	2038
130	305	2028
131	306	2017
132	307	2007
133	309	1997
134	310	1987
135	311	1977
136	312	1967
137	313	1956
138	314	1947
139	315	1939
140	316	1929
141	317	1920
142	318	1910
143	319	1900
144	320	1891
145	321	1882
146	322	1874
147	324	1865
148	325	1857
149	326	1848
150	327	1840
151	328	1832
152	329	1824
153	330	1816
154	331	1809
155	333	1801
156	333	1793
157	335	1785
158	336	1777
159	337	1770
160	338	1764
161	339	1756
162	340	1748
163	341	1741
164	342	1734
165	343	1727
166	345	1720
167	346	1713
168	347	1707
169	348	1700
170	349	1693
171	350	1687
172	351	1681
173	352	1675
174	354	1669
175	355	1662
176	356	1656
177	357	1650
178	358	1645
179	359	1639
180	360	1630
181	361	1624
182	362	1618
183	363	1613
184	364	1607
185	365	1601
186	367	1595
187	368	1592
188	369	1586
189	370	1580
190	372	1576
191	373	1571
192	374	1566
193	375	1561
194	377	1557
195	378	1552
196	379	1547
197	380	1541
198	381	1536
199	382	1531
200	384	1526
201	385	1521
202	386	1516
203	387	1511
204	388	1506
205	389	1500
206	390	1495
207	391	1490
208	392	1485
209	393	1480
210	394	1476
211	396	1472
212	397	1467
213	398	1463
214	399	1458
215	400	1454
216	401	1449
217	402	1444
218	404	1441
219	405	1436
220	406	1432
221	407	1427
222	408	1423
223	409	1418
224	410	1414
225	411	1410
226	413	1406
227	414	1403
228	415	1399
229	416	1395
230	419	1397
231	422	1398
232	423	1394
233	424	1389
234	425	1385
235	426	1381
236	428	1378
237	429	1374
238	430	1370
239	431	1366
240	432	1361
241	433	1357
242	434	1353
243	435	1349
244	436	1345
245	438	1344
246	441	1345
247	444	1346
248	446	1347
249	449	1348
250	450	1345
251	451	1341
252	452	1337
253	453	1333
254	455	1329
255	456	1325
256	457	1322
257	458	1319
258	459	1315
259	461	1312
260	462	1308
261	463	1304
262	464	1300
263	465	1296
264	466	1292
265	467	1289
266	468	1285
267	469	1282
268	470	1278
269	471	1274
270	473	1272
271	474	1268
272	475	1265
273	476	1262
274	477	1258
275	478	1254
276	479	1251
277	480	1247
278	481	1244
279	482	1240
280	483	1237
281	484	1233
282	486	1231
283	487	1228
284	488	1225
285	489	1221
286	490	1218
287	491	1215
288	492	1212
289	493	1208
290	495	1206
291	496	1203
292	497	1200
293	498	1197
294	499	1194
295	501	1191
296	502	1188
297	503	1185
298	504	1182
299	505	1179
300	506	1176
301	507	1172
302	508	1169
303	509	1166
304	510	1163
305	511	1160
306	512	1157
307	514	1154
308	515	1151
309	516	1148
310	517	1145
311	518	1143
312	519	1140
313	520	1137
314	522	1135
315	523	1132
316	524	1129
317	525	1126
318	526	1124
319	527	1121
320	529	1119
321	530	1117
322	531	1114
323	533	1112
324	534	1109
325	535	1106
326	536	1103
327	537	1100
328	538	1097
329	539	1094
330	540	1092
331	541	1089
332	542	1087
333	543	1084
334	545	1082
335	546	1079
336	547	1076
337	548	1074
338	549	1071
339	550	1069
